tweet_id,text,task1,task2,ID
1126939397990043648,"RT @BlindMelon1967: DOIN' IT AGAIN 1990

THINGS YOU NEVER SEE
""You never see a Rolls Royce with a bumper sticker that says 'shit happens'.""…",HOF,PRFN,hasoc_2020_en_3892
1123821260138532865,RT @vormirloki: plot twist loki is actually alive and he’s n00bmaster69 on fortnite that calls korg a dickhead for shits and giggles,HOF,PRFN,hasoc_2020_en_4067
1123637532833411077,@realDonaldTrump @WhiteHouse @foxandfriends The United States wants a strong leader like President Trum! Those who… https://t.co/CCCkw1qxMU,NOT,NONE,hasoc_2020_en_2452
1126934721353666560,Literally would rather get my gums scraped then go to work tonight. Just 3 more shifts 🙌🏼,NOT,NONE,hasoc_2020_en_3303
1123581211731849218,@liennegrc @amosjonah_ get ur own fuckin dog bitch,HOF,PRFN,hasoc_2020_en_1382
1127073242454171648,Like damn maybe I wanna laugh and have a drink or go to dinner too y’all really disowned me :/,HOF,PRFN,hasoc_2020_en_985
1123579148134338560,@WoeSenpai69 It is a nice ass,HOF,PRFN,hasoc_2020_en_1443
1130125609433292803,@Tolu_lvd You’re an idiot,HOF,OFFN,hasoc_2020_en_212
1127048764487761921,@Cody_Qu @TATIANNANOW @AlyssaEdwards_1 That’s my Bitch🤪🤪,HOF,OFFN,hasoc_2020_en_4698
1123559057409835009,RT @adam22: i really hope nobody gets hurt over this Mozzy / Philthy Rich beef but at least there's some hard ass records coming out as a r…,HOF,PRFN,hasoc_2020_en_3852
1123814628948049923,"RT @HomeWorldof: .@JustinTrudeau is a liar, he said liberals don’t hold private fundraisers inside the private homes of billionaires:

http…",HOF,OFFN,hasoc_2020_en_4552
1126795806005239808,Get more info about landlordsgas https://t.co/8UKYY1kPMZ,NOT,NONE,hasoc_2020_en_1268
1126926529882132480,"It's your job to love your mother, and it's our job to keep her in good health. Let's do our jobs extra well this M… https://t.co/2Xh4ixwsde",NOT,NONE,hasoc_2020_en_4662
1130012111550070784,"RT @etaerealkookie: 🐯: whose room is this?
🐰: my room
🐹: its big right?
🐯: ah. why?
🐹: w-why?? 
🐯: its the same as mine
🐹🐥: the same?!!
🐹:…",NOT,NONE,hasoc_2020_en_1423
1130318538999312384,"Another hour! It's May 19, 2019 at 08:45PM",NOT,NONE,hasoc_2020_en_4811
1126970146436915206,therefore cats are inferior FUCK U if you love cats,HOF,HATE,hasoc_2020_en_2312
1126948214442274818,"RT @catvalente: If you’re pro-life, but not pro comprehensive sex ed, subsidized birth control, health &amp; childcare, foster &amp; adoption refor…",NOT,NONE,hasoc_2020_en_2501
1126933605660418049,"RT @Headking_: Only Legends would understand this.

PS: if you understood this ASAP, you're heading to hell. 😂 https://t.co/MOAg3U9pZJ",NOT,NONE,hasoc_2020_en_1514
1123794450147364864,"I never understood how or why people  died when their animals passed away... 

Then i got Crimson and then it made… https://t.co/zJp2iX52UU",NOT,NONE,hasoc_2020_en_1804
1123733368481427456,RT @ellevargaz: Fuck (and I cannot express this enough) T*u*p supporters &amp; those who voted for him. https://t.co/f0ksmW1Sd6,HOF,HATE,hasoc_2020_en_1573
1126949900544036869,RT @Stunna4Vegas_: Big 4️⃣✖️ out now everywhere fuck nigga,HOF,PRFN,hasoc_2020_en_1380
1126769285404061698,RT @sire_liljosh: People are just mad in this country. I asked this guy for the money I loaned him and he said he doesn't think I need it n…,NOT,NONE,hasoc_2020_en_46
1126781738292670465,Join our Nursing and Midwifery lecturers to learn more about JCU's Bachelor of Nursing Science and the double degre… https://t.co/lkLoQGGaIz,NOT,NONE,hasoc_2020_en_3479
1123577474615533570,fucking girls wheel of porn amateur housewife fucking list of free porno sites real sexy movies myanmar   sexyiest… https://t.co/gsgLLzUuML,HOF,OFFN,hasoc_2020_en_2248
1127081673001177088,RT @hmtfu: who the fuck is everyone https://t.co/kCblNO6ypW,HOF,PRFN,hasoc_2020_en_3761
1127056498759282688,"Rockets are shit
So no championships for James Harden and Chris Paul 😂",HOF,PRFN,hasoc_2020_en_3112
1123801991497564165,Yoo what’s his damn problem 😩😭😭😂,HOF,PRFN,hasoc_2020_en_4449
1130045754070843393,"@marxiuminlow I’m sorry for misinterpreting it, probably because I used the wrong words. I’ve been overthinking lat… https://t.co/WypF5nwBlV",NOT,NONE,hasoc_2020_en_4747
1130009817290928129,"RT @yourtrace__: TY: Give me, give me, hand it to me!
DY: i WILL hold it 
TY: Just hand it over! We're not going to places i want!
DY: I'm…",NOT,NONE,hasoc_2020_en_3289
1126934993962401792,Oh now I get it When the little bitch man is trying to DOX young teenage girls he’s a tough guy but someone his own… https://t.co/9hof8v3QvP,HOF,OFFN,hasoc_2020_en_1407
1123635297282068480,RT @krishgm: Gavin Williamson has wrecked his own career - he will go down in history as the Defence Secretary sacked over a breach of conf…,NOT,NONE,hasoc_2020_en_2530
1126971337639989248,RT @seokjinspout: the way he has his eyes closed while waiting for the hat to be put on him and his little smile after:( him is baby https:…,NOT,NONE,hasoc_2020_en_5247
1126855570634440705,my ass is sore,HOF,PRFN,hasoc_2020_en_4221
1127046621185888256,"Ah shit, here we go again",HOF,PRFN,hasoc_2020_en_3895
1130119418619604993,RT @ggukly_taken: TAKE MY FUCKING KIDNEYS I BEG https://t.co/0XzFQ2Ywq4,HOF,PRFN,hasoc_2020_en_85
1123565659265409026,@ItsJasonPatel Christ I hope you’re okay xoxox,NOT,NONE,hasoc_2020_en_2250
1126921605769306114,@baguette_chan You're such an amazing artist!,NOT,NONE,hasoc_2020_en_2707
1126907286427926531,@GregoryTTaylor2 @aaronsojourner @GOPChairwoman @realDonaldTrump huh..facts not bullshit. That would be Trump https://t.co/tyjGWrigN8,HOF,OFFN,hasoc_2020_en_1925
1130321647012065280,Coming close to 150 followers and I’m thinking of doing a giveaway,NOT,NONE,hasoc_2020_en_1600
1126817184376872961,@BradSherman And in case you forgot you're a genuinely terrible person,HOF,OFFN,hasoc_2020_en_224
1123730092734259200,"If anti-vaxxers wanna fucking die because they don’t, “believe” in medicine, it’s ok, go ahead, they should get ext… https://t.co/xl6Y7cm8bs",HOF,PRFN,hasoc_2020_en_2481
1123531299510280193,RT @LisaMRomano: Simple salad: poached chicken in wasabi orange mayo; segmented orange; Lebanese cucumber slices; black sesame seeds #food…,NOT,NONE,hasoc_2020_en_1985
1123553768409374720,RT @darrendh_: Feeling sick 🤧🤧 https://t.co/BV7CLfYkIo,NOT,NONE,hasoc_2020_en_2613
1126915385595498496,"Yeh, FUCK YOU CHRIS",HOF,OFFN,hasoc_2020_en_1752
1126790319834402816,@Solenepersona im glad you're back!! you really need to do that and tell me who you got to manage hdksjsjs,NOT,NONE,hasoc_2020_en_2172
1123746567947681795,Kluber you big fucking bitch you peice of shit are you fucking kidding me you suck all game now you leave the fucki… https://t.co/LTQ1cD0B22,HOF,OFFN,hasoc_2020_en_899
1130224330762334208,I’m so tired of following people from jail on FB 😂 shit is so annoying,HOF,PRFN,hasoc_2020_en_3348
1123689676425125888,Oh. My. Fucking. Good. God! That is absolutely sensational from Messi. Wow!,HOF,PRFN,hasoc_2020_en_3375
1123636547163697154,RT @notviking: fuck i forgot to take my gummy vitamins this morning today is gonna fucking suck ass,HOF,PRFN,hasoc_2020_en_1885
1127060923775057920,@RealMAGASteve @izzysroses @Ilhan She is the Terrorist... Deport this America Hating Trash!,HOF,OFFN,hasoc_2020_en_3211
1130152754977148929,RT @Skinnyy_B: A reminder to get yo ass outside💚🌱 https://t.co/xyU2xVmbyY,HOF,PRFN,hasoc_2020_en_5070
1123600908191977473,RT @paul_winginit: Go check out Noel’s review of the same flight I was on. Poor Noel was only two rows behind me but might as well have bee…,NOT,NONE,hasoc_2020_en_2564
1126934457120780288,"RT @ShivaniKesarwa2: @CoolpadInd My mother calls me ""betu"" &amp; ""Shivi"" #CoolpadSmartphones #MyCoolMom #MyCoolName #MothersDay
@CoolpadInd
Tag…",NOT,NONE,hasoc_2020_en_3222
1130107531962068993,@axisf_kerry Bigger voluptuous girls are so fucking hot,HOF,PRFN,hasoc_2020_en_5359
1123609359697698816,RT @davidhogg111: If you’re an anti-vax candidate I will not  vote for you and no one else should.,HOF,HATE,hasoc_2020_en_1545
1126919617656623104,At work until tomorrow morning. iMessage games welcome,NOT,NONE,hasoc_2020_en_3053
1126821806483152902,RT @dbongino: Comey is a snake. He’s a gifted liar and a natural at deception. The easiest way to tell that he’s lying is that his lips are…,HOF,OFFN,hasoc_2020_en_4252
1127059166344941568,"RT @omnipotentlexy: “Birth control pills, IUD’s and other methods of birth control like that – the bill states that any birth control that…",NOT,NONE,hasoc_2020_en_1101
1130207356397080577,"Till you notice me, always with you 
I see your smile from far away
You’re so dazzling that my eyes grow faint
My heart is racing again",NOT,NONE,hasoc_2020_en_1643
1130047880574717952,@chrisbanx @realDonaldTrump She lived to see it. Thought of him as a monster. In public even 😳,NOT,NONE,hasoc_2020_en_222
1130072224319365121,2 people followed me // automatically checked by https://t.co/uaXy3vAsyx,NOT,NONE,hasoc_2020_en_1941
1123723088250720261,RT @SPOTLIGHTBTS: OMGGG TAE U GO!! Did u hear that english🙌🏼he said we’re all a precious memory AWWWWW😭😭😭 @BTS_twt #BBMAs https://t.co/pHNg…,NOT,NONE,hasoc_2020_en_4864
1123542250829615104,"RT @HQPornHQ: Hot Negotiations -  Sometimes You Gotta Fuck A Little To Make A Whole Lotta Money! #LunaStar 1/2 #BigTitsAtWork #Brazzers

@E…",HOF,PRFN,hasoc_2020_en_4756
1123746488255954950,"this was the thing i wrote for sungjae's bday in 2017 im emo as fuck ""i hope you will stay in my life for many year… https://t.co/AaFCJt0sIT",HOF,PRFN,hasoc_2020_en_3530
1123717480462024710,THE SCREAMS ARE ON ANOTHER LEVEL I CAN TELL THEYRE SEEING @BTS_twt #BTSonE #BBMAs,NOT,NONE,hasoc_2020_en_4210
1126977780086919169,Being sick sucks,HOF,PRFN,hasoc_2020_en_3508
1130264168265932801,RT @luldre__: me getting my shit together is all that matters to me rn,HOF,PRFN,hasoc_2020_en_2543
1123826284918915072,@alexmonney Did I just say edition instead of addition. I might be a little tired. 🤦🏻‍♀️,NOT,NONE,hasoc_2020_en_3335
1123499976431063042,"RT @cafe_army: 🐨: who do you want to collaborate with?
🐥: RM!!!!! R~~M~~!!!!
🐨: come on shut up
🐥: 😆😆😆

[#BBMAsTopSocial BTS @BTS_twt]

 ht…",NOT,NONE,hasoc_2020_en_4497
1126991944226357248,RT @Roddy_PipeHer: I’d be one fine ass hoe out in these streets. https://t.co/4qLvBSr8HT,HOF,PRFN,hasoc_2020_en_2287
1123689957430898693,"RT @Ore_TheBoss: Nah, fuck this Messi guy. Clutch af.",HOF,OFFN,hasoc_2020_en_4397
1123740217809276929,"RT @prayingmedic: These people know Barr is coming after them.
That's why they're working furiously to publicly discredit and smear him.",NOT,NONE,hasoc_2020_en_1441
1130276214298562571,So stop fucking asking me. GOT IT ?!?!,HOF,PRFN,hasoc_2020_en_2632
1127029311309881345,RT @all_in_yo_girl: This how girls titties be when you be fucking them 😂 https://t.co/VruegPcTFi,HOF,PRFN,hasoc_2020_en_2359
1130235093329600513,I’m dead ass goin to see this Aladdin Remake when it come out...,HOF,PRFN,hasoc_2020_en_1395
1123734094108659712,"RT @DonaldJTrumpJr: Dear Democrats: The American people aren’t stupid, they know what spying is and no amount of gaslighting will change th…",NOT,NONE,hasoc_2020_en_3108
1123591504549883906,@kinkywaveoral @_MiaMercy And she's a gorgeous dick eater🌟🌟🌟🌟🌟⚘😉,HOF,PRFN,hasoc_2020_en_3700
1123614166366003200,RT @Allstarjr2724: I Hate People That Make A Problem Out Of Everything . Fuck On,HOF,PRFN,hasoc_2020_en_3302
1130201211741900800,RT @AndyOstroy: Can we just agree at this point that everything this corrupt traitor does is shocking and inappropriate? That everything he…,HOF,HATE,hasoc_2020_en_3806
1130153744807747584,"RT @tiaramvrie: No one understands. I got so much anger inside me, I been WAITING for a bitch to actually touch me. Lmao.",HOF,OFFN,hasoc_2020_en_2952
1130097784420536321,@RhysChiwara @jordynn_mcguire @molliescx aw taste like ass tbh,HOF,PRFN,hasoc_2020_en_3460
1130219884804222978,RT @dannygonzalez: All these years I thought Jake Paul had no comedic talent but then he made a video trying to cancel Cody Ko for being a…,NOT,NONE,hasoc_2020_en_4359
1130236477466501120,KEN FUCKING GETS IT. BE LIKE KEN.,HOF,PRFN,hasoc_2020_en_846
1130196686096277505,go go go go!!!!!!!!!!!!!!!!!!!! https://t.co/AUrgllbgjq,NOT,NONE,hasoc_2020_en_4743
1123768126687019009,omg who’s performing I can’t tell they’re so skinny I can’t see them,NOT,NONE,hasoc_2020_en_1356
1126827187804475392,On god—men do not understand my humor. You all are lame as fuck,HOF,HATE,hasoc_2020_en_2393
1130258380101230594,@existentialvibe @falsettour go to your fucking room,HOF,PRFN,hasoc_2020_en_117
1126828668389593088,"@ProlificPapi 🤣 bun him anyway, he cheated",HOF,OFFN,hasoc_2020_en_3367
1126855121860800513,"RT @GetzlerChem: If you're interested in the future of polymers and you're not following @barneygrubbs live tweeting #CSR_Plastics, it's ti…",NOT,NONE,hasoc_2020_en_768
1127026694051835904,I’m with all the freaky shit but that spitting in each other’s mouth is just weird to me,HOF,PRFN,hasoc_2020_en_2033
1123586421036597248,Lil' mama got a fatty I'm lovin ya waste line / Just like that you'll get them dollaz if ya wine https://t.co/Xgl8stYWnD,NOT,NONE,hasoc_2020_en_136
1123608608900468736,"#25 Jung Hoseok

""Even when this rain stops, when the clouds go away, I stand here, just the same.""

QT/RT/REPLY fo… https://t.co/cmj1hq5tuV",NOT,NONE,hasoc_2020_en_4750
1127070570670116865,"""tryna fuck?""",HOF,PRFN,hasoc_2020_en_3803
1123757682891087874,"@yunojng tell them to sign it on paper, i'm gonna tattoo that on my ass.",HOF,PRFN,hasoc_2020_en_820
1130122849585377281,"RT @lovingpcy: Does it ever just break your heart that Jaemin, Jeno, Haechan, Renjun and Chenle look like men now like they’re not little b…",NOT,NONE,hasoc_2020_en_1706
1130243813283385344,@_tianabarajas @aubrianadicarlo Only in America,NOT,NONE,hasoc_2020_en_443
1123616116725694464,Go Valour!,HOF,HATE,hasoc_2020_en_3689
1130262998025687042,@johnlegend You’re an idiot.,HOF,OFFN,hasoc_2020_en_55
1126909509379792897,My mom is not one to be judge mental but if you fuck with me or anything she will roast you harder than i ever could 😂😂,HOF,PRFN,hasoc_2020_en_4164
1130015290857807873,is that a vacuum cleaner with a mouth https://t.co/ZvUrFQqqrQ,NOT,NONE,hasoc_2020_en_680
1123645506230657024,@TuTuTullip Not even Jesus can die for you,HOF,OFFN,hasoc_2020_en_87
1123723629315993601,RT @taylorivers: lmao who’s the bitch that annoyed oprah so much that she bought a plane https://t.co/XgGrSrQKQf,HOF,PRFN,hasoc_2020_en_2331
1123625885268004864,RT @torress_karenn: Kylie said “lets fuck around and have another baby”,HOF,PRFN,hasoc_2020_en_2783
1126823547144482816,@Megs_ISU So you're saying you're unbearable if you're not on drugs?,NOT,NONE,hasoc_2020_en_631
1130078461236862976,I only slept at 9 am because I took a long ass nap yesterday💀 now my eyes are painful af 💀💀💀😭,HOF,PRFN,hasoc_2020_en_1648
1123583866738921473,"RT @RockinTrump: 🇺🇸”America's greatest FIRST daughter ever!"" 

She is beautiful and smart. Her wardrobe and how she carries her self, puts…",NOT,NONE,hasoc_2020_en_5298
1123610559285317638,@Diesmilingg Fuck you @koyakeyan,HOF,OFFN,hasoc_2020_en_2615
1123657757792657408,I don’t have the words to describe this bitch and her ultra stupidity,HOF,PRFN,hasoc_2020_en_5036
1127052958779228161,@BPX5HH @blackpersonaa idk how they found you 🚶🏽‍♀️🚶🏽‍♀️,NOT,NONE,hasoc_2020_en_3190
1126836281017868288,RT @J0DIESST: auba hasn’t been great but pretending he’s shit in the prem is mad cos he scores goals https://t.co/E7jVQQGx6c,HOF,PRFN,hasoc_2020_en_671
1127042657581137920,"RT @iGoHAM_79: In essence, what he's saying is don't pop off some unnecessary shit with folks who potentially have nothing to lose that he'…",HOF,PRFN,hasoc_2020_en_3123
1123583317247516674,Just caught up on GoT and FUCKING HELL,HOF,PRFN,hasoc_2020_en_4168
1123767870838669313,"@MatteoAdragn @HillaryClinton @realDonaldTrump “You’re going to need it”

Shes going to need asylum in America? What a dumb fucking comment.",HOF,OFFN,hasoc_2020_en_3470
1126779502758178817,how are you today? i hope you're doing well.,NOT,NONE,hasoc_2020_en_2776
1126955940316680193,"RT @RStarovich: @B52Malmet Trump fits in nowhere. He is too stupid for business tycoons, to crass for Hollywood, too ignorant for democrati…",HOF,OFFN,hasoc_2020_en_7
1130237370840829955,Wow I totally underestimated you as a friend. You’re a legend.,NOT,NONE,hasoc_2020_en_5199
1123572768576905216,"RT @BBMA_BTS_VOTE: We're hoping that you vote on website too! We goin full force 👊

#BBMAsTopSocial + BTS (@BTS_twt)
https://t.co/S0BUXGS4pc",NOT,NONE,hasoc_2020_en_613
1126853645469986817,RT @Manny_Rae: If you're feeling sorry for the people of King's Landing just remember they rooted for Ned's execution. #GameofThrones https…,NOT,NONE,hasoc_2020_en_3896
1130320090921091073,@NevaCoblan @CWazz And these are the POS we want here hell no !!!!!,HOF,PRFN,hasoc_2020_en_817
1127068716779409408,these niggas aint shit BUT THEY BE SO. FUCKING. FINE.,HOF,PRFN,hasoc_2020_en_4716
1130153463780925442,@MousaKraish I cannot even calculate the damage this man will do to this country and the entire world before we get him out of office.,NOT,NONE,hasoc_2020_en_2346
1130321642805186562,@bang_reality Love that ass,HOF,PRFN,hasoc_2020_en_4752
1123688925661409280,@KamalaHarris You were righteous and fierce. We're gonna need more of that if we're ever gonna crawl out of this slagheap of corruption.,NOT,NONE,hasoc_2020_en_4466
1126904195217596416,"RT @SlenderSherbet: ""mate, i don't care who you are, if your name's not on the list, you're not coming in"" https://t.co/Ww6qbT4qqz",NOT,NONE,hasoc_2020_en_4647
1126879398467182592,"RT @spideymemoir: Mary Jane doesn't need superpowers. She's just a badass. Gerry Conway, Alex Saviuk, Keith Williams https://t.co/Bm642cfV2o",HOF,PRFN,hasoc_2020_en_869
1126841087711240197,RT @WyKodie: @USBPChief @RMConservative @realDonaldTrump and that idiot @DHSgov is doing worse than Nielsen and still you refuse to #hireko…,HOF,OFFN,hasoc_2020_en_3884
1123494033127563264,RT @howardjeff10: Eventually you'll get over shit you never thought you’d get over,HOF,PRFN,hasoc_2020_en_1992
1123669543770046465,@realDonaldTrump Don the Con. Biggest con-job in history of America!,NOT,NONE,hasoc_2020_en_3353
1123560189880340480,"RT @realDonaldTrump: “No President in history has endured such vicious personal attacks by political opponents. Still, the President’s reco…",NOT,NONE,hasoc_2020_en_2311
1130295436798042113,"RT @krassenstein: Three Months ago @mattgaetz attempted to throw Manuel Oliver, the father of Parkland victim Joaquin, out of a Gun Violenc…",NOT,NONE,hasoc_2020_en_3389
1126855377721675776,"@thepplsxchoice_ ""Damn da blunt gone"" or  ""Can i smoke wit ya"" 😭😭😭😭😭",HOF,PRFN,hasoc_2020_en_3506
1130046198646222848,RT @JuanLovesCock: You’re versatile? Fuck yeah man👍 @dilf2050 @aussietrbl @Michaeljc1979 @senior_nobody2 @omaha_pal @RodSteelOfficia @Unifo…,HOF,PRFN,hasoc_2020_en_974
1127084567062409216,"RT @saltydkdan: “We didn’t even create Mr. Mime, he just appeared in the original game data during development and we were too scared to re…",NOT,NONE,hasoc_2020_en_328
1123559195821924354,Brie looks like a father of two-,NOT,NONE,hasoc_2020_en_1994
1126884070930178048,RT @KylahGuion: I wanted her to BLOW blow up here and I think we failed her. Like she really could’ve been a legend. I think people forget…,NOT,NONE,hasoc_2020_en_4306
1130251333666267140,“Bitch it’s going to melt” 😂😂😂😂😂😂😂,HOF,PRFN,hasoc_2020_en_1457
1130280991606489088,RT @emeraldxmoon: This can’t be said enough: voters are not the fucking problem. What did they have to vote for? Labor gave them nothing. W…,HOF,PRFN,hasoc_2020_en_2269
1127082591536988160,"RT @BTSPublicity: 2019 MTV BRA Metrics 📊 — ""KPOP EXPLOSION"" (Estimated Total Update)

1. @BTS_twt : 1.5M🔥
2. E: 740K
3. G: 84K
4. B: 36K

#…",NOT,NONE,hasoc_2020_en_4155
1130311870060158976,RT @funder: Trump was at his golf course for over four and a half hours yesterday. That’s the 252nd day he’s spent at one of his properties…,NOT,NONE,hasoc_2020_en_1866
1126952618461401088,RT @lclutterbuckx: it’s SO draining always going an extra mile for people that wouldn’t even cross a fucking road for you 🙂 xx,HOF,PRFN,hasoc_2020_en_4075
1123587272488706048,God damn,HOF,PRFN,hasoc_2020_en_4837
1123660920264306690,@fireanddsiah Shit hard.,HOF,PRFN,hasoc_2020_en_4685
1126972218448257024,i’m an adult but i’m just 21. catch me enjoying my youth some of you too pressed to be grown that you’re boring. do… https://t.co/QY6yVYoBwL,NOT,NONE,hasoc_2020_en_4105
1123641831990935552,You can tell I found my way bitch I switched it up https://t.co/6veXhHmylo,HOF,PRFN,hasoc_2020_en_3869
1126822632769429506,"RT @BestForBritain: If you're an EU citizen - you can now sign up to vote online. No additional forms to fill.

If you're a British citizen…",NOT,NONE,hasoc_2020_en_3789
1123644285663043584,RT @laylanicksss: if you’re shitty to sex workers don’t call yourself a feminist.,HOF,PRFN,hasoc_2020_en_3342
1123754197420261383,"RT @thebradfordfile: You told us President Trump was a traitor for over two years.

HAVE A SEAT, CLOWN. https://t.co/bNTUMr4Zn0",HOF,OFFN,hasoc_2020_en_3686
1126868342294351872,"@AlertTrollbot Interesting 

Ok

Lol this is some whacked out shit smdh 🤦🏼‍♀️",HOF,PRFN,hasoc_2020_en_3029
1123613012919611394,"RT @davidfrawleyved: Modi government has tackled terrorism in a way that previous UPA never attempted, crucial in this era of global terror…",NOT,NONE,hasoc_2020_en_737
1130306987923841025,Or the fuck not.,HOF,PRFN,hasoc_2020_en_957
1123598358021431297,"vote for bts at the bbmas and i'll eat ur ass
#BBMAsTopSocial BTS @BTS_twt ©",NOT,NONE,hasoc_2020_en_2062
1127009287685988352,RT @MichaelGoros: @robreiner Who was president in 2016? What did he do about it? #ObamaSpiedDemocratsLied,HOF,HATE,hasoc_2020_en_2683
1126983421434257408,RT @_MiceliRoyce: Might fuck around and go crazy on cuz.,HOF,PRFN,hasoc_2020_en_3885
1123791488977113088,@jeonspoppy @BTScullt @BTS_twt The golden question did he saw our rapline I wanna seee his reaction damn it 😭😭😭😭,NOT,NONE,hasoc_2020_en_828
1130199932508336128,Okay @RGrich15 I love ya but we need more from you #BlueJays,NOT,NONE,hasoc_2020_en_3275
1123781443593830400,If Nicki would have EVER.,NOT,NONE,hasoc_2020_en_771
1130155930056740865,"RT @tylerthecreator: OUT NOW, IF YOU LIKE, TELL A FRIEND, IF YOU HATE, TELL A FRIEND https://t.co/497nnwMBQA",NOT,NONE,hasoc_2020_en_1266
1130151735723462657,"RT @asherxloren: “don’t do anything stupid until i get back”
“how can i? you’re taking all the stupid with you” https://t.co/G7sCqedHza",NOT,NONE,hasoc_2020_en_1707
1123744193988440064,RT @FreeMe93: If Hulk smoked shisha and rented whips on Eid this is what he’d look like https://t.co/M7XAbHjkHA,HOF,PRFN,hasoc_2020_en_1264
1123562723235770370,"RT @Saintsfan5348: @realDonaldTrump @LouDobbs Ring, Ring, PRESIDENT OBAMA CALLED MR BIRTHER!!!

WHERE'S YOUR #GIRTHCERTIFICATE?

#FakePresi…",HOF,OFFN,hasoc_2020_en_505
1126854916343881728,I almost put chicken stock in my tea instead of milk. TGIF!,NOT,NONE,hasoc_2020_en_5279
